"logFC"	"logCPM"	"LR"	"PValue"	"FDR"	"change"
"hsa-miR-671-5p"	1.53286126600376	3.06158699995948	136.054232815605	1.94154437218564e-31	4.09555963793122e-30	"UP"
"hsa-miR-324-5p"	1.57711882377522	8.87058851435587	135.479386391893	2.59346256086949e-31	5.41960961318148e-30	"UP"
"hsa-miR-518f-5p"	1.36232026777599	3.53235630467416	135.459794350685	2.61917970998406e-31	5.42267206622627e-30	"UP"
"hsa-miR-4635"	2.67289553856425	2.80842065398692	134.042604957574	5.34755348658483e-31	1.09698436660584e-29	"UP"
"hsa-miR-29c-5p"	1.45048559936227	8.69269000208848	133.231330533434	8.04674721045882e-31	1.63568425114418e-29	"UP"
"hsa-miR-1272"	-1.06807123732563	9.61939909451772	132.977692423059	9.14334199549081e-31	1.84184799116374e-29	"DOWN"
"hsa-miR-6805-5p"	1.1107412831641	3.54657490833613	132.105876474136	1.41848562070079e-30	2.83190522132764e-29	"UP"
"hsa-miR-451b"	2.03784655107355	3.66034039133233	131.478490267746	1.94571269449454e-30	3.85010051760159e-29	"UP"
"hsa-miR-1180-3p"	-1.17931358957114	2.69141705189865	130.955859472582	2.53173781008408e-30	4.96575942398947e-29	"DOWN"
"hsa-miR-98-5p"	0.831786320947228	5.95366468067074	129.642932927714	4.90538143740932e-30	9.53776773395413e-29	"NOT"
"hsa-miR-579-5p"	1.81529147311549	3.98704394708262	128.344727652106	9.43468149156891e-30	1.81861619096104e-28	"UP"
"hsa-miR-92a-1-5p"	1.77574783171674	4.21620241392762	127.994454838993	1.12557007632979e-29	2.15108947920804e-28	"UP"
"hsa-miR-147a"	2.86177807192551	2.32587535898916	127.928049299319	1.16386688320014e-29	2.20542911087756e-28	"UP"
"hsa-miR-765"	-1.27548241875945	1.795974518573	126.349862013012	2.57784619743282e-29	4.84375134240319e-28	"DOWN"
"hsa-miR-219a-5p"	-0.890786505538415	5.4293121545826	125.870141308395	3.2827699313785e-29	6.11689463880193e-28	"NOT"
"hsa-miR-1913"	1.35317579697035	3.82092496877363	125.390758771309	4.17977536528752e-29	7.72394852626685e-28	"UP"
"hsa-miR-1252-3p"	-1.71070973918739	1.11300307520841	125.288280214841	4.40129717344105e-29	8.06663973755261e-28	"DOWN"
"hsa-miR-1298-3p"	-1.25237506522261	1.47148983463352	124.101349188478	8.00487520913831e-29	1.45519520062059e-27	"DOWN"
"hsa-miR-6884-5p"	3.42288649694477	1.87840816474744	123.438572733766	1.11794226957354e-28	2.0159023506181e-27	"UP"
"hsa-miR-4659a-5p"	2.2067169464441	5.88704644419007	122.744396359599	1.58621968657431e-28	2.83742977534413e-27	"UP"
"hsa-miR-3189-5p"	2.43710201279424	2.28360006861625	120.888685710104	4.0418629416398e-28	7.17270280754492e-27	"UP"
"hsa-miR-181a-5p"	1.40245618901194	8.59722819195198	119.164211395736	9.64087343898622e-28	1.69740102437584e-26	"UP"
"hsa-miR-574-5p"	-1.97627254870751	1.16641397953411	117.301953191548	2.4652749243569e-27	4.30652713348597e-26	"DOWN"
"hsa-miR-136-5p"	-0.86768572218819	11.6665990470063	115.362200526302	6.55599205802457e-27	1.13637195672426e-25	"NOT"
"hsa-miR-328-5p"	-1.10701671415059	9.70663782133001	114.31333968852	1.11261737567975e-26	1.91370188616918e-25	"DOWN"
"hsa-miR-6790-5p"	1.6215053014121	2.73427897817755	112.462056666226	2.83029912105987e-26	4.83095330892356e-25	"UP"
"hsa-miR-6715b-5p"	2.22878911624194	1.8481223644065	111.857643966367	3.83909687210984e-26	6.50319742881637e-25	"UP"
"hsa-miR-7108-5p"	-1.77471041723635	0.972141789003258	111.379825867983	4.88539364843158e-26	8.21333849465641e-25	"DOWN"
"hsa-miR-548f-5p"	1.28999530251657	5.80489338071205	110.413235169457	7.95521782815802e-26	1.32745276595234e-24	"UP"
"hsa-miR-636"	1.0878247921745	3.95869590630258	108.563270025485	2.02288808651011e-25	3.3505020455086e-24	"UP"
"hsa-miR-335-5p"	-1.23437075153887	3.669895228991	107.780155914763	3.00308187163915e-25	4.93741990072437e-24	"DOWN"
"hsa-miR-3199"	2.38419183788929	2.52985926946556	107.508167856882	3.44482807081577e-25	5.62236172725844e-24	"UP"
"hsa-miR-2117"	1.18737572927824	4.29931019035109	107.098132152561	4.23663123907727e-25	6.86457061635999e-24	"UP"
"hsa-miR-518c-3p"	-1.61952321972855	5.28141479933233	106.875590871464	4.74011086161985e-25	7.62509919897984e-24	"DOWN"
"hsa-miR-134-5p"	-1.10861596774978	7.88201387710871	105.099936948489	1.16128619635454e-24	1.85473995360624e-23	"DOWN"
"hsa-miR-873-5p"	0.70404614492816	3.3566159068651	104.658448146361	1.45112481034035e-24	2.30121636590143e-23	"NOT"
"hsa-miR-6857-5p"	2.48173470906872	6.03958431413906	103.559007753169	2.52753014255175e-24	3.9799699991167e-23	"UP"
"hsa-miR-2681-5p"	0.781990775741819	6.50971334733564	102.411083834886	4.5117023402228e-24	7.05466184107566e-23	"NOT"
"hsa-miR-203a-5p"	2.11569423422331	12.7895108541351	101.822757679393	6.07185668225711e-24	9.42824412606035e-23	"UP"
"hsa-miR-190a-5p"	4.36508197450993	6.79999079237441	100.270879069861	1.32916752695893e-23	2.04966799329667e-22	"UP"
"hsa-miR-320e"	2.29233214573859	1.50762842495009	100.178740628224	1.39246138332012e-23	2.13256414596151e-22	"UP"
"hsa-miR-4682"	1.96431118184091	1.60112317154592	100.062593814198	1.47656043790705e-23	2.2459790062314e-22	"UP"
"hsa-miR-592"	1.66828964167945	2.58975430051984	99.6504032903244	1.81817840894731e-23	2.7469235962204e-22	"UP"
"hsa-miR-485-5p"	-1.06063029265919	2.62652747673926	99.01116095268	2.51082730181745e-23	3.76792607172069e-22	"DOWN"
"hsa-miR-143-5p"	1.48826085474989	6.30615826017504	98.6444407668023	3.02161654509588e-23	4.50422306322293e-22	"UP"
"hsa-miR-135b-5p"	0.924693436541563	3.56208311933983	97.9633246543747	4.26203707845478e-23	6.31120192544694e-22	"NOT"
"hsa-miR-186-5p"	-0.928635704483735	2.83436536177863	97.6837644548602	4.90830373554778e-23	7.22037312676634e-22	"NOT"
"hsa-miR-483-5p"	1.4620562204303	2.71659068815135	97.0124582605115	6.88924869476835e-23	1.00682092035961e-21	"UP"
"hsa-miR-346"	1.05010564771189	5.0650617837441	96.4387699208266	9.20469232431661e-23	1.33647350890727e-21	"UP"
"hsa-miR-3923"	1.66441554125669	1.68358077332962	96.3279128700694	9.73478585614881e-23	1.40432136608702e-21	"UP"
"hsa-miR-187-5p"	3.10235694058619	5.5818642601521	95.2869417512447	1.6469595239348e-22	2.36064198430655e-21	"UP"
"hsa-miR-6741-5p"	1.76068014196625	1.72706900103859	93.4737488082212	4.11623891333251e-22	5.86236319121751e-21	"UP"
"hsa-miR-1256"	1.10165892425154	4.51380820251082	92.5980387755044	6.40708932905723e-22	9.06724793656454e-21	"UP"
"hsa-miR-7846-3p"	1.43770585844901	2.28383889064705	92.4485143034974	6.90992488243645e-22	9.71735348247038e-21	"UP"
"hsa-miR-345-5p"	1.26866353183475	7.68508229520447	92.1542498770965	8.01770496966721e-22	1.12047426951099e-20	"UP"
"hsa-miR-105-5p"	0.753517349694057	6.03733880122129	91.9488851606334	8.89444609599432e-22	1.23527835221387e-20	"NOT"
"hsa-miR-331-5p"	-0.892068563070532	5.68824181709361	91.9343626562211	8.95995894897973e-22	1.2366955685135e-20	"NOT"
"hsa-miR-130a-5p"	0.914325300956481	7.01378728698233	91.7276343708463	9.94661310966686e-22	1.36445563884755e-20	"NOT"
"hsa-miR-200a-5p"	1.30423925377683	7.94137961954264	91.3507414621948	1.20335008775498e-21	1.64066511964642e-20	"UP"
"hsa-miR-3911"	-1.18611454045446	1.42885476839546	91.1541011996496	1.32907681196465e-21	1.80110045548664e-20	"DOWN"
"hsa-miR-3943"	-1.13995237725078	5.57494576936549	89.3256280516607	3.34892579256305e-21	4.51096269407891e-20	"DOWN"
"hsa-miR-132-5p"	-0.830307597026759	6.34099126275841	89.1850898717987	3.59548639624087e-21	4.81407639640394e-20	"NOT"
"hsa-miR-487a-5p"	-1.22149680566027	1.67611201847395	88.6347673758257	4.74869275996989e-21	6.32028393529325e-20	"DOWN"
"hsa-miR-216a-5p"	-1.07806120194915	3.07664197612614	87.6887435307758	7.66091386950455e-21	1.01359783504214e-19	"DOWN"
